,Comments
1772,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1773,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1774,b'Any update @tim_cook @Apple @AppleSupport'
1775,"b'RT @AshishSahu2701: What is this @Apple @AppleSupport @tim_cook .\nYou\xe2\x80\x99re stealing 8GB space from my iPhone , already\xe2\x80\x99ve space crunch\nWaitin\xe2\x80\xa6'"
1776,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1777,b'@AppleSupport hey! i need your help with something.'
1778,b'Is there any reply from your side?@Apple @AppleSupport'
1779,b'@hock_17 @AppleSupport Of course not \xf0\x9f\xa4\xa3'
1780,b'@_ellielyne @AppleSupport Any luck with this?'
1781,"b'@RachelTrue @Apple @AppleSupport A decade-old post - surely, someone at @Apple must have read it by now... https://t.co/kxkNBqInXT'"
1782,b'@AkshitZaveri @AppleSupport @LinusTech @ijustine Try using usb c ports on different sides'
1783,b'@AkshitZaveri @AppleSupport @LinusTech @ijustine You\xe2\x80\x99ll see the cpu usage for  the  kernel_task process goes up and above 90% and then the issue starts'
1784,"b'@AkshitZaveri @AppleSupport @LinusTech @ijustine That\xe2\x80\x99s a known issue, when you use external monitor, the discrete graphics card kicks in, and the everything goes crazy.'"
1785,b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Stalker 2:14am https://t.co/S0gBPgDt7x'
1786,b'@AppleSupport Hi. Tried to find it online but where can I get help with your iPhone case bought on https://t.co/c6t2LV1U09 that seems faulty?'
1787,b'@AppleSupport I\xe2\x80\x99m having issues with cellular connectivity on my iPad. It\xe2\x80\x99s running ios 14.4. I have to restart the device most of the time to get it to work. DM'
1788,b'@AppleSupport my AirPods won\xe2\x80\x99t charge and die after 15 minutes of use... can y\xe2\x80\x99all please replace them.'
1789,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1790,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1791,"b'Why Apple support unable to help for resolving my issue, for iPone 11.\nMy phone in warranty period also.\nDoes Apple make fool us?\nCase ID: 101324130554\n@Apple @AppleSupport'"
1792,"b'2,40,000 INR MacBook Pro 16 inch (2020), still under warranty, I run a screen saver for a minute and it heats up like Sahara desert. Proof attached. Is it a common issue or just mine? @AppleSupport @LinusTech @ijustine'"
1793,b'@standupmaths @RachelTrue @Apple @AppleSupport That is beautiful \xf0\x9f\x98\x82'
1794,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1795,"b'@AppleSupport I am unable to reset security questions neither there is a way to contact support using web every time it takes me to ( https://t.co/2lTY5HZygW ) &amp; this msg ""We do not have sufficient information to reset your security questions"" https://t.co/d5IftXOntn'"
1796,"b""@Apple must clarify if they manufacture multiple iPhone devices carrying same IMEI number ! I am sure, it's not even legal anywhere in th world. @AppleSupport https://t.co/0VlYXpYguf"""
1797,"b'@OurielOhayon Hum, never tried ! Even tapping on the airpods does not work ? What is @AppleSupport  doing ? \xf0\x9f\x98\x89'"
1798,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1799,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1800,b'@AppleSupport This is the receipt of a subscription I canceled in January that you deducted my money in March. This is a scam @Apple. Every effort on my part to get a refund from you is null and void. I need my refund. https://t.co/UW61MRAKN6'
1801,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1802,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1803,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1804,b'@Apple @AppleSupport whyyyyyyy is my phone still ringing while it\xe2\x80\x99s on DND &amp; LOCKED ?'
1805,"b'RT @johalifax: Okay, I\xe2\x80\x99ve been getting increasingly annoyed at the iPhone autocorrect/spell check. Tonight it tried to turn some typo I\xe2\x80\x99d m\xe2\x80\xa6'"
1806,b'@AppleSupport Yep. The app developer asked me to contact you since this particular subscription should be shared with my family.'
1807,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1808,"b""@AppleSupport \xe2\x80\x9cSet the alarm's volume:\nGo to Settings &gt; Sounds &amp; Haptics. Under Ringers And Alerts, drag the slider left or right to set the volume.\xe2\x80\x9d\n\xe2\x80\x9cRingers AND Alerts\xe2\x80\x9d, so sets both at the same time, then? A fix better be incoming in 14.5. People have requested since 2007. Not acceptable."""
1809,"b'@cloudyseance @AppleSupport @Apple , why does the word brown pop up whenever i type \xe2\x80\x9ci miss \xe2\x80\x9c'"
1810,"b'@P_ierre @AppleSupport My @Apple watch never arrived after I paid extra for next-day delivery. @AppleSupport never contacted me, and when I finally talked to them 12 hours after it was supposed to be delivered, they gave me awful excuses and told me to keep checking the order status page! I cancelled. https://t.co/sf0ofJ1eY4'"
1811,b'@Apple please bring ECG to Mexico!We need that kind of technology! @AppleSupport'
1812,"b'@AppleSupport universal clipboard doesn\xe2\x80\x99t work between my iPhone 12 and MacBook Pro. Both has the same AppleID, have Bluetooth, Wifi, and Handoff turned on. Please advise'"
1813,"b'@AppleSupport Hi there - I have a qi certified charger in my car, I have removed my iPhone 12 Pro from its case, it connects and starts to charge then moments later it says it\xe2\x80\x99s not charging. Any other solutions ?'"
1814,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1815,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1816,b'@AppleSupport sir I have ipad version 9.3.5 now software is not upadat what can I do? https://t.co/DqVHfY3xD1'
1817,b'@AppleSupport why I have to always keep downloading music though I have subscribed all the times. \xf0\x9f\xa4\x94\xf0\x9f\x98\xa9At times I miss listening my fav music just because it asks to download again n again \xf0\x9f\x98\x96'
1818,b'RT @Traderoute07: How do @AmazonHelp @AppleSupport and @walmarthelp feel about supporting #CCPChina #Genocide by the products y\xe2\x80\x99all sell?\xe2\x80\xa6'
1819,b'How do @AmazonHelp @AppleSupport and @walmarthelp feel about supporting #CCPChina #Genocide by the products y\xe2\x80\x99all sell?  https://t.co/ReHTlRZWzS'
1820,b'@AppleSupport I am an iPhone 7 user recently upgrade to IOS 14.4 but finally landed in trouble with battery drainage with hours which would last for full day without upgrade now service centre asking for battery replace for Rs.3500.Upgrade landing old users in trouble'
1821,"b'@AppleSupport @Apple  Apple please implement battery health check for Ipad also in next update , it\xe2\x80\x99s useful information. Every time I need to plug it to computer to check health. Do add this feature in next update.'"
1822,b'@Apple @AppleSupport please fix your sh*t \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/BhbsjJa6iP'
1823,"b'@johalifax @AppleSupport I turned autocorrect off years ago, and for less valid reasons.'"
1824,b'@AppleSupport one of your reps just put me on hold disconnected from my computer and hang up on me this is a joke'
1825,"b'Can someone explain why we don\xe2\x80\x99t have an option to make portrait mode the default camera mode? Give me that bokeh background life. Do you hear me, @AppleSupport? Open the ticket for the next software ticket, please and thanks.'"
1826,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger I didn't even tweet some of the earlier hacks because I wasn't dealing with him being his usual d-bag self the entire day but they just have to keep forcing the issue https://t.co/HRWGftZEC6"""
1827,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger They just can't help themselves \n\nStalker 10:58pm https://t.co/rCcP939cU2"""
1828,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1829,b'@RachelTrue @Apple @AppleSupport This is likely an injection point for hackers and is already being exploited.'
1830,"b'@AppleSupport Hey I just installed a HomeKit enabled doorbell with HomePod Annoucements. My question is if those announcements are in English only, as I live in Chile (Spanish). Thanks!'"
1831,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1832,b'Thousands of kids are forced to work in cobalt mines in the DRC. Some are maimed and even killed doing this.\n\n@AppleSupport @tim_cook @lisapjackson Your products depend on cobalt. Can you guarantee that your supply chain is 100% free of child labor? Anything else is unacceptable!'
1833,b'@AppleSupport it\xe2\x80\x99d be nice to have an option to disable precise location on multiple apps at once...'
1834,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1835,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1836,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1837,b'@AppleSupport I\xe2\x80\x99m Afjal Khan from Delhi India i bought iphone 11 64 GB  Black colour on 21 february 2021 from imagine Apple store Gurgaon  i want to change my phone i need purple colour same verient how can change my phone please support me'
1838,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1839,b'@AppleSupport Info is all here:\n\nhttps://t.co/CvTbclVAMC'
1840,b'@LuSchmoo @AppleSupport Check for updates is greyed out. https://t.co/uqBdDtmwiW'
1841,b'Getting this loop on iOS 14.4 any fix?\n\n@AppleSupport https://t.co/QATt6jIoI5'
1842,"b'#UPS delivery of defective iPad Air to @AppleSupport was originally scheduled for March 4, now it\xe2\x80\x99s uncertain when it will reach @Apple. Never again will I buy from Apple website.'"
1843,"b'What is this @Apple @AppleSupport @tim_cook .\nYou\xe2\x80\x99re stealing 8GB space from my iPhone , already\xe2\x80\x99ve space crunch\nWaiting for solution.\nDowngrading the fan https://t.co/7kF9tOHfIp'"
1844,b'I\xe2\x80\x99m Afjal Khan from Delhi India i bought iphone 11 64 GB  Black colour on 21 february 2021 from imagine Apple store Gurgaon  i want to change my phone i need purple colour same verient how can change my phone please support me @Apple @AppleSupport @apple'
1845,"b'@RachelTrue @Apple @AppleSupport LMAO, this is some piss-poor coding for a multi-million dollar company. Then again, it is Apple. Shady and shoddy seems to be their mantra.'"
1846,"b""@RachelTrue @joneaves @Apple @AppleSupport Are you saying that you a' int gonna change your last name?\nBdum tss..."""
1847,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1848,b'@AppleSupport how to solve MacBook m1 ssd lifespan\xef\xbc\x9f'
1849,"b'@AppleSupport I shipped you my defective HomePod, but @FedExHelp has it stuck in Memphis for TWO WEEKS. Calling Apple support is ZERO HELP. Useless agent tells me to contact FedEx who is also useless because they can\xe2\x80\x99t tell me when it will ship. Am I out 1 HomePod? Do better!'"
1850,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1851,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1852,"b'Deleting the iOS Developer Beta, to go back to iOS 14.4, hopefully this fixes my issue with checking for updates. @AppleSupport @Apple https://t.co/PcLj8dwxMA'"
1853,b'@johalifax @AppleSupport Settings &gt; General &gt; Keyboards &gt; Toggle off Predictive text. ( helped for me). You can also toggle off Autocorrect.'
1854,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1855,"b""@AppleSupport my macbook air isn't taking my password. I already turned it off and back on."""
1856,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1857,b'@standupmaths @RachelTrue @Apple @AppleSupport and so topical after just reading about how Apple handles their calendars in humble pi!'
1858,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1859,"b'@AppleCard @AppleSupport maybe you should ""improve"" your government psyop cyber security you mother fuckers.  I get it, you want to steal my shit, and pop them poops on the list, but please, spare my dignity... or better yet, take it with you. idecatp lol.  -catsenstein (remember t)'"
1860,b'@AppleSupport Can I send my MacBook to US for repairing?'
1861,"b'@AppleSupport Did you even read the post? \n\nWait a sec. You\xe2\x80\x99re a robot, aren\xe2\x80\x99t you?'"
1862,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1863,"b""@AppleSupport it's 11.2.2 double tapping key for dictation quits working regularly and requires restart multiple times a day from simply closing browser through daily usage"""
1864,b'RT @RachelTrue: 3+ hours on phone today w/ customer service + the 2+ hours yesterday + the countless other times I spent 2+ hours on phone.\xe2\x80\xa6'
1865,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1866,"b'Five hours and three technicians later and @AppleSupport still is unable to figure out my issue. Folks, stay away from using the Podcast app on I-Phone. It will download an enormous amount of files (24G for me) and there is no way to delete them.'"
1867,"b'RT @AppleSupport: @MikeBarry_Lynn We appreciate you reaching out, we\xe2\x80\x99d love to help. Great job recognizing the phony support calls. Please\xe2\x80\xa6'"
1868,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1869,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1870,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1871,"b'\xe2\x80\x9cQuestions? Contact us through the app\xe2\x80\x9d\n\xe2\x80\x9cOh I can\xe2\x80\x99t help you with that. Call this number\xe2\x80\x9d\n\xe2\x80\x9cIts a carrier delay. We\xe2\x80\x99ll update you\xe2\x80\x9d\n\xe2\x80\x9cIt\xe2\x80\x99s being inspected\xe2\x80\x9d\n1 week after inspection, still no update. It\xe2\x80\x99s been almost a month since I sent it in. This is insane. @AppleSupport'"
1872,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1873,b'@RachelTrue @Apple @AppleSupport The whole iCloud/Me system is a dinosaur. I still cannot merge accounts.'
1874,b'@AppleSupport have an iPhone 5se in the last few hours it\xe2\x80\x99s not been loading a thing requiring wifi. It still lets notifications appear but if I try go on to a website or app it won\xe2\x80\x99t load altho it says I have full wifi any ideas https://t.co/oISDUyDr1j'
1875,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1876,b'Thanks to @AppleSupport!  You never fail to help resolve an issue!'
1877,b'@TheDerekSeguin @AppleSupport Unleashing the true power of twitter: public shaming mega corps for better customer service\n#LoveYouMoreNowMan'
1878,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1879,"b'@Applesupport I placed an order for two hour delivery on apple store, delivery never showed up and now I\xe2\x80\x99m getting a refund in 5 days? Called customer service, useless, no solution or sympathy. Can you please provide a better solution?'"
1880,b'.@Apple @AppleSupport why is every fucking update a gamble with you now?! Something is always broken on all my devices. Every. Goddamn. Time.'
1881,"b'Hey @AppleSupport, does someone want to explain to me why one of your reps is demanding I illegally record copyrighted material or she won\xe2\x80\x99t help me with my support request?'"
1882,"b""@AppleMusic @AppleSupport I signed in and out again but the apple music app is still not working. What's happening?"""
1883,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1884,b'RT @RachelTrue: 3+ hours on phone today w/ customer service + the 2+ hours yesterday + the countless other times I spent 2+ hours on phone.\xe2\x80\xa6'
1885,b'@AppleSupport Thanks for getting back to me. I rebooted my phone and it\xe2\x80\x99s ok now.'
1886,"b'@rpcorbeil @AppleSupport We had the same problem appear suddenly - affecting a Brother and an HP air print capable printers - after an OS upgrade.\n\nNote \xf0\x9f\x91\x89\xf0\x9f\x8f\xbcneither Mac or PCs could air print on the printers.\nThis went on for weeks, even with a new HP printer\n\nThis fixed it, but why was this necessary \xe2\x81\x89\xef\xb8\x8f\xf0\x9f\xa4\x94 https://t.co/yag5w8uvQq'"
1887,"b""@theofficialjeff @RachelTrue @joelschopp @Apple @AppleSupport Doesn't seem to be possible. Plus the validation is server-side, so this isn't a simple client-side bypass. https://t.co/pfWM9lLw71"""
1888,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1889,"b""@AppleSupport fix this??? why can't i play twice all of a sudden??? https://t.co/knb5vfhHGE"""
1890,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1891,b'@AppleSupport trying to watch snoopy show on apple plus and can\xe2\x80\x99t get through a few seconds until screen goes black and then starts. Then resets. Have 4k lg tv from 2019.'
1892,b'Hi @AppleSupport please explain how a downloaded file is supposedly being saved to MyDocuments when this folder doesn\xe2\x80\x99t exist? \xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac#NeverAgain'
1893,"b'RT @johalifax: Okay, I\xe2\x80\x99ve been getting increasingly annoyed at the iPhone autocorrect/spell check. Tonight it tried to turn some typo I\xe2\x80\x99d m\xe2\x80\xa6'"
1894,b'@AppleSupport I\xe2\x80\x99m disgusted by the lack of help you\xe2\x80\x99ve given me on my Apple ID issue. How many times do I have to beg for you to fix my problem?  No email since Jan 31 after you assured me changing my Apple ID would be fine'
1895,"b'@LuSchmoo @AppleSupport I have not, I will try that!'"
1896,b'@AppleSupport my charger started burning hot and smoke came out ???'
1897,b'Is anyone else getting an exorbitant amount of FaceTime spam calls? From like ten numbers at a time? I\xe2\x80\x99m going crazy how do I stop this?!?? @AppleSupport @TMobileHelp'
1898,b'@AppleSupport I\xe2\x80\x99m getting the same camera issue in just 3 months after service. Sour experience!'
1899,b'@IPEdmonton @AppleSupport Yeah. What the hell is that even doing in its lexicon?!?!?'
1900,"b'Okay, I\xe2\x80\x99ve been getting increasingly annoyed at the iPhone autocorrect/spell check. Tonight it tried to turn some typo I\xe2\x80\x99d made in \xe2\x80\x98Nigella\xe2\x80\x99 into ... the n-word. Thank god I caught it. Seriously @AppleSupport WHAT THE HELL?!?!'"
1901,"b'@AppleSupport Hi! Just a little bug report for iOS 14.4: When you start the Health app, streaming via AirPlay to an Apple TV is being interrupted. Health tries to stream an empty 4-second clip.'"
1902,b'.@AppleSupport why do you have this account if you NEVER answer to DMs? \nSimply pathetic\n#Apple\n#iPhone\n#iPhone12\n#iPhone12Pro\n#iPhone12ProMax\n#CustomerService \n#CustomerSupport\n#CustomerSatisfaction \xf0\x9f\x98\x84\n#AppleArrogance'
1903,b'@FortniteGame @EpicGames @AppStore @AppStoreGames @AppleSupport bring fortnite back! On IOS'
1904,"b'Hey @AppleSupport , having trouble with sms group messages. Some People aren\xe2\x80\x99t getting them and I\xe2\x80\x99m not getting some responses. What\xe2\x80\x99s up? Fix coming?'"
1905,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1906,b'@hmemcpy @Apple @AppleSupport It\xe2\x80\x99s been a learning journey replete w/ much devsplaining  along the way \xf0\x9f\x98\x82 Null has it worse then True by far'
1907,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1908,b'RT @MikeBarry_Lynn: .@AppleSupport  Robo call from 888-295-3128 claiming to be from Apple Support recording reporting accounts were comprom\xe2\x80\xa6'
1909,"b""RT @hmemcpy: @RachelTrue @Apple @AppleSupport As a software engineer it really pains me to see what you're going through. I'd like to tell\xe2\x80\xa6"""
1910,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1911,"b'@Apple, seriously.\nWhat are you doing.\n@AppleSupport \n@AppleNews https://t.co/5QQahbpTRn'"
1912,b'RT @RachelTrue: 3+ hours on phone today w/ customer service + the 2+ hours yesterday + the countless other times I spent 2+ hours on phone.\xe2\x80\xa6'
1913,b'@Apple @AppleSupport why #FaceTime isn\xe2\x80\x99t it #stereo and #spacial? I wish I could could have #stereocalls using my #airpodspro'
1914,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1915,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1916,b'@AppleSupport Hi. I have a subscription which is not being shared with my family. Please can you help?'
1917,b'So @AppleSupport was #nosupport in solving my @instagram issue....\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84'
1918,b'@standupmaths @RachelTrue @Apple @AppleSupport That\xe2\x80\x99s some real sloppy coding on Apple\xe2\x80\x99s part.'
1919,b'RT @AppleSupport: Nothing helps get your workout started like your favorite playlist. \xf0\x9f\x92\xaa\n\nHere\xe2\x80\x99s how to set a playlist to start automaticall\xe2\x80\xa6'
1920,b'RT @RachelTrue: 3+ hours on phone today w/ customer service + the 2+ hours yesterday + the countless other times I spent 2+ hours on phone.\xe2\x80\xa6'
1921,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1922,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1923,b'i love my lil iphone mini \xf0\x9f\xa5\xb0 @Apple @AppleSupport'
1924,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1925,b'RT @AppleSupport: Quickly set a timer right from Control Center. \xe2\x8f\xb2\n\nLike this. https://t.co/GGBFI1P0Wq'
1926,"b'@AppleSupport Actually, if I select ANY topic, it goes back to ""select a topic"" and I get stuck on that page'"
1927,"b'@AppleSupport I\'m trying to select ""My issue isn\'t listed"" and then it automatically goes back to ""Select a topic"" and I can\'t proceed with the process.'"
1928,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1929,b'@AppleSupport My iPhone is deliberately connecting to a different WiFi. The Xfinity technology simply allowed a person as non tech savvy to notice it. When I hit WiFi at home my phone hasn\xe2\x80\x99t been connecting to my home WiFi. It happens that when I turn off WiFi it reconnects moments later.'
1930,b'@AppleSupport @tkandersen I\xe2\x80\x99ve dmed you'
1931,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1932,b'RT @AppleSupport: Quickly set a timer right from Control Center. \xe2\x8f\xb2\n\nLike this. https://t.co/GGBFI1P0Wq'
1933,b'@AppleSupport so I key into my iPad the word: just.\n\nI type in \xe2\x80\x9cjus\xe2\x80\x9d using the on-screen keyboard. \n\nThe keyboard predicts my next keystroke should be a number.\n\nSo I click where I\xe2\x80\x99m expecting there to be a \xe2\x80\x9ct\xe2\x80\x9d &amp; my word \xe2\x80\x9cjust\xe2\x80\x9d appears as \xe2\x80\x9cjus5\xe2\x80\x9d.  \n\nWhat the hell is this madness?'
1934,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1935,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1936,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1937,"b'@endpaperstraws @AppleSupport Hello, have you tried restarting the device to see if that fixes it? Normally when I get control centre issues, I just restart my phone and that fixes it for me.'"
1938,b'RT @BrolmGay: Her location turned off i think her phone is broken @Apple @AppleSupport why did she stop sharing her location'
1939,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1940,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1941,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1942,"b'@KHVideo @AppleSupport Hello, instead of restoring the iPad, did you try and reinstall iPadOS by holding down the shift on windows and option on Mac and then selecting check for update at the same time to keep the data? This will just reinstall the software.'"
1943,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1944,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1945,b'@AppleSupport wtf!!! Age rating 4+ !?!?!? Why is there ??? https://t.co/2uQEgoTyix'
1946,b'When saving a Memoji to a contact photo how can you change the background color? @AppleSupport'
